smiles,absorption wave length
CCOc1ccccc1[C@@H]1C(C(=O)OC)=C(C)NC2=C1C(=O)CCC2,356.23
CC(C)COC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,232.14
CCC(=O)N1N=C2CC(C)(C)OC[C@H]2[C@H]1c1ccccc1,253.02
Nc1ccccc1Sc1nc(-c2ccccc2N)ccc1[N+](=O)[O-],475.9
Cc1cc(NC(=O)Cc2cc(F)cc(F)c2)no1,251.42
O=C=Nc1ccccc1F,242.04
Cc1ccc(Sc2nc3ccccn3c(=O)c2C=O)cc1,414.75
O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1ccc(F)cc1,265.49
O=C(O)c1ccccc1C(=O)c1ccc(F)cc1,334.94
O=S(=O)(Nc1cccc(F)c1)c1cccc2nsnc12,441.29
COc1ccc(Cc2nc(-c3ccccc3)cs2)cc1,285.52
COc1ccc(NC(C)=O)c(NC(=S)Nc2ccc(C)cc2C)c1,321.28
CN(C)c1ccc(/C=C2\N=C(/C=C/c3ccccc3)OC2=O)cc1,473.21
COc1cccc(NC(=O)c2ccccc2)c1,292.59
Cc1ccccc1-c1nnc(SCC(=O)c2ccccc2)o1,345.33
CC[C@]1(C)OC(=O)N(CCCn2ccnc2C)[C@@]1(C)O,210.29
O=C(COc1ccc([N+](=O)[O-])cc1)N1CCCC1,325.9
CCOC(=O)CSc1nc2ccccc2s1,267.17
N#CC(=C1CCCC1)c1nc(-c2cc3ccccc3oc2=O)cs1,350.99
N/C(=C\C(=O)c1cccs1)C(F)(F)F,337.01
O=C1CC[C@@H]2C[C@H]1CCC2=O,299.24
Cc1cc(/C=C2/NC(=O)NC2=O)c(C)n1-c1ccccc1,367.99
CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1cccnc1,334.56
CN(C)C[C@H](O)Cn1c2ccccc2c2ccccc21,310.55
Cc1ccc(C(=O)NNC(=O)c2cccnc2)cc1,286.51
COc1ccc(-c2ccc3ccccc3n2)cc1OC,320.66
COC(=O)c1c(C)oc(C)c1S(=O)(=O)N1CCOCC1,261.87
CC[C@H](C)C(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,258.37
O=C1O[C@@H](c2ccccc2)[C@@H](C(=O)O)c2ccccc21,271.02
