smiles,absorption wave length
CC1(C)OC[C@H](CS)O1,217.16
CN1CCC=C(/C=N/O)C1,297.68
c1cc(-c2cn[nH]n2)ccn1,275.47
c1ccc(-c2c[nH]nn2)nc1,258.26
CC1(C)OC[C@@H](CS)O1,213.35
c1ccc(-c2cn[nH]n2)cc1,247.87
O=c1[nH]cnc2c1CSCC2,330.25
Nc1cc2c(cn1)[nH]c1ccccc12,360.24
Oc1ccc(-n2cnnn2)cc1O,274.39
Oc1ccc(-c2cn[nH]n2)cc1,261.13
O=C1C=C(Cl)C(=O)C(CO)=C1,497.87
C=C=C(CN)c1cccs1,269.76
Cn1c(C(F)(F)F)nc2ccc(Cl)cc21,257.54
Nc1ccn(-c2ccccc2)c(=O)c1,298.41
COC(=O)c1cc2c(cn1)[nH]c1ccccc12,305.67
Cn1ncc(C2=CCCNC2)n1,272.59
OC1CCC(c2c[nH]cn2)CC1,191.31
CCn1c(=O)oc2cc(Cl)ccc21,258.59
Nc1ccn(-c2ccc(Cl)cc2)c(=O)c1,304.02
C1=NN[C@H](c2ccccc2)C1,249.05
O=c1[nH]c(=O)n2c3c(cccc13)CC2,297.31
O/N=C/c1ccc2ccccc2c1O,338.45
CCn1c(=O)[nH]c2c3ncccc3ccc21,361.76
O=c1ccc2ccc3sccc3c2[nH]1,325.68
N[C@H]1CCN(c2ccc(Cl)nc2)C1,294.7
Cc1ccccc1-c1cn[nH]n1,248.0
Cc1cc2[nH]c(N)c(C#N)c2cc1F,271.94
C[C@H](N)Cc1cc(F)cc2ccoc12,260.51
Cc1cc(C)c2c(=O)cc(C(=O)O)[nH]c2c1,395.77
CSc1nc(Cl)c(C#N)c(SC)n1,295.97
O=C(O)Cc1cc2ncsc2cc1O,268.85
Fc1ccc(N2C[C@H]3C[C@@H]2CN3)cn1,296.82
O=C1NC(=O)[C@@](F)(c2ccccc2)CO1,256.08
NCC[C@@H]1CCCCN1,187.99
O=c1[nH]c2c(o1)-c1ccncc1CCC2,291.62
Clc1ccc(N2C[C@H]3C[C@@H]2CN3)cn1,294.71
C=C1CSCc2c1nc(C)[nH]c2=O,344.41
O=C1c2cccnc2-c2nccc3ccnc1c23,453.22
CN(C)CCCn1ccc2ccc(C#N)cc21,290.77
NC1=N[C@@H](Cc2ccsc2)CS1,244.37
Clc1ccc(C2=NCCCN2)cn1,287.05
Cc1ccc(F)c(C2=NCCN2)c1,273.21
O=C1NCCN(c2ccccn2)N1,310.85
Nc1c2c(nc3ccccc13)CCSC2,295.5
CN1CCC[C@@H]1CCN,177.81
O=C(O)[C@]1(O)CC[C@H](O)O1,224.55
Cc1nc(-c2noc(C)n2)no1,236.31
NC1=N[C@@H](Cc2cscn2)CS1,269.5
S=C=Nc1ccc2oc(C3=NCCN3)cc2c1,318.73
Cc1cc(C)c2nc(C)c(=O)[nH]c2c1,338.98
Cn1cnc2c(Nc3ccccc3F)ncnc21,274.69
O=C1CCc2c(ccc3ccccc23)O1,295.71
CC(=O)Nc1cccc(-c2cn[nH]n2)c1,273.1
CN1CCN=C1c1ccc(Cl)nc1,300.61
O=C1NCCN(c2ccccc2)N1,257.48
NC1=N[C@@H](Cc2cccs2)CS1,246.0
CC(=O)Nc1cc2c(cn1)[nH]c1ccccc12,330.72
O=C1c2ccccc2-c2nc3nonc3nc21,488.44
NNC(=O)c1cccc(C(=O)NN)n1,296.81
Nc1ccn(-c2ccccc2F)c(=O)c1,293.13
O=C(O)C1=C(Nc2ccccc2)OCC1=O,283.66
c1ccc(-c2cnc3nonc3n2)cc1,415.61
O=c1[nH]c(=O)n2c3c(cccc13)CCC2,291.04
C[C@@H](N)Cc1n[nH]c2ccc(Cl)cc12,288.36
C[C@H]1C[C@@H](O)C[C@@H](c2ccccc2)N1,233.5
Nc1c2c(nc3ccccc13)CCOC2,293.59
Cn1sc(=O)n(Cc2ccccc2)c1=O,311.56
Cc1cc(N2CC[C@H](N)C2)cnc1Cl,290.97
S=C1NCCN(c2ccccc2)N1,290.91
O=C(O)[C@@H](CS)CC1CCNCC1,245.98
NC1=Nc2c(F)cccc2[C@H]2CCC[C@]12F,280.6
Cc1cc(N2CC[C@@H](N)C2)cnc1Cl,289.68
CCNC(=O)c1ccc(Cl)s1,281.37
Cc1cccc(C)c1[C@@H](C#N)CO,236.99
CSc1ccc2cnn(C[C@@H](C)N)c2c1,286.67
N#Cc1cncc(N2C[C@H]3C[C@@H]2CN3)c1,327.94
CC(C)(CN)c1cc(F)cc2ccoc12,253.48
Nc1nc(-c2ccncc2)cc(=O)[nH]1,303.33
C[C@H](CN)c1cc(F)cc2ccoc12,257.54
C1=CC[C@H](c2c[nH]cn2)CC1,195.86
Nc1c2c(nc3ccccc13)CSC2,301.27
O=C(CCc1nc2ccccc2s1)NO,262.31
C/C(=N\O)c1ccc2ccccc2c1O,314.68
Cc1cccc(N2CCNC(=O)N2)c1,270.31
CCNc1nc(NCC)nc(ON=C(C)C)n1,241.77
O=CN1CCCc2ccccc21,255.47
COc1ccc(-c2cnc3ccncc3c2)cc1OC,366.17
c1cncc(N2C[C@@H]3CNC[C@@H](C3)C2)c1,285.99
Nc1ncc(C[C@H](CS)C(=O)O)s1,264.91
Cc1ccc(/C=N/n2cnnc2)s1,313.71
C[C@@H](N)Cc1cc(C(N)=O)cc2ccoc12,272.63
N=C(N)NCCc1ccc(O)c(O)c1,249.08
Cc1cc(Cl)c(C(N)=O)c(C)n1,265.48
Nc1nnc(-c2ccc(Cl)cc2)s1,301.02
O=C(/C=C/c1ccco1)Nc1cccnc1Cl,321.32
Nc1nccn1CCc1cncnc1,325.45
NC[C@H](CC(=O)O)Cc1ccsc1,223.59
COc1ccc(C(=S)NN)cc1,421.05
Cc1c(C(=O)O)cnc2c([N+](=O)[O-])cnn12,329.79
c1coc(CSc2ncnc3ccccc23)c1,321.25
CC(C)=NOc1nc(N(C)C)nc(N(C)C)n1,250.67
Cn1c(=O)cc2c3c(cccc31)C(=O)c1ccccc1-2,400.57
O=C(N/N=C/c1ccco1)c1ccncc1,329.96
O=C1Nc2ccc(Cl)cc2[C@@]12CCCNC2,273.79
COc1ccc2c(C)nn(C[C@H](C)N)c2c1,279.25
Clc1ccccc1/C=N/n1cnnc1,319.92
O=[N+]([O-])c1ccc([C@@H](O)CCl)cc1,329.47
C[N+](C)(C)C[C@H]1CCC[C@@H]1O,179.5
Cc1cccc(C)c1-n1ccnc1,258.05
Cc1cccc(C)c1[C@@H](CN)CO,236.45
O=C1CCCCc2sccc2N1,240.24
Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1,293.02
Nc1nc2c3c(ccc2s1)CCCC3,264.92
CC(C)n1c(=O)[nH]c2ccc(-c3cccc(Cl)c3)cc21,291.95
c1ccc2c(c1)ccn2Nc1ccncc1,258.14
CC1CCC(NC(=O)c2cc3ccccc3o2)CC1,277.9
O=C1NCCC(=O)c2c1[nH]c1ccccc21,345.78
CC(C)C[C@H]1CNC[C@@H]1C(=O)O,222.37
Nc1nonc1C(=O)N1CCOCC1,291.49
Clc1ccc2c(c1)C[C@@H]1CNCCN21,302.29
CCc1cccc2[nH]c(C(=O)O)cc(=O)c12,383.66
Nc1cccc2c1nc1c3c(nccc32)-c2ncccc2C1=O,528.35
COc1ccc2c(Cl)nn(C[C@@H](C)N)c2c1,282.18
CCOC(=O)c1cc2ccccc2oc1=O,340.09
Nc1cc(C[C@H](CS)C(=O)O)ccn1,260.89
Nc1ccn(-c2ccccc2Cl)c(=O)c1,300.83
O=C(Nc1ccc(F)cc1)N1CC=CCC1,254.46
COC(=O)CCC(=O)Nc1nccs1,250.19
C[C@H]1CC2=CC(=O)CCN2c2ccc(Cl)cc21,338.93
O=C(N/N=C/c1ccco1)c1cnccn1,383.21
C[C@@H]1CC[C@H](O)[C@@H]2[C@@H](O)[C@@H](O)CN12,220.78
COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,402.96
COc1ccc(C=C(C#N)C#N)c(O)c1,337.81
C[C@@H]1SC(N)=N[C@H]1Cc1ccncc1,251.33
ONc1c2c(nc3ccccc13)CCCC2,300.51
Cc1ccc(/C=N/NC(=O)c2cccs2)o1,347.31
Nc1ccc2nc3c4c(nccc4c2c1)-c1ncccc1C3=O,441.04
COc1ccccc1/C=N/n1cnnc1,312.85
O=c1oc(-c2ccco2)nc2scc(-c3cccs3)c12,379.54
FC(F)(F)c1ccc(/C=N/n2cnnc2)cc1,322.88
C/C(=N\O)c1ccc(C)c(C)c1O,303.47
Cc1ccc(/C=N/NC(=O)c2ccco2)o1,325.84
Cc1cn([C@H]2C[C@@H](F)[C@H](CO)O2)c(=O)[nH]c1=O,260.43
O=C(c1ccc(O)cc1)c1ccc(O)cc1,338.14
COc1ccc(/C(C)=N/O)c(OC)c1OC,261.43
CS[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@H]1N,248.91
c1ccc(CSc2ncnc3ccccc23)cc1,314.79
Cn1cccc1/C=N/NC(=O)c1ccco1,331.49
CC[C@H](C)[C@H](N)C(=O)Nc1ccncc1,264.74
O=C(N/N=C/c1ccc(O)cc1)c1ccc(Cl)cc1,324.48
Clc1cccc2c1C[C@H]1CNCCN21,293.97
O=C(NN=C1CCCC1)c1ccncc1,298.39
C[C@@H]1S[C@@H](c2cccnc2)N(C)C1=O,271.51
O=C(N/N=C/c1ccco1)c1ccc(Cl)cc1,331.49
CCOC(=O)/C(C#N)=C/c1ccccc1,297.85
O=C(N/N=C/c1cccs1)c1cccnc1,324.41
CC[n+]1ccnc2cc3ccccc3cc21,606.54
O=C(N/N=C/c1ccc(Cl)cc1)c1cccc(O)c1,306.32
c1cncc(CSc2ncnc3ccccc23)c1,313.91
Clc1ccc(N2CCN3CCC2CC3)nn1,339.35
Cc1oc2ccc(O)cc2c1C(=O)O,294.9
O=C(N/N=C/c1cccs1)c1cccs1,327.83
COc1ccc(/C(C)=N/O)c(O)c1OC,274.21
O[C@H]1CC=C(c2c[nH]cn2)CC1,234.23
O=[N+]([O-])c1cnn(C2=CNCCN=C2)c1,350.96
Cc1occc1C(=O)N/N=C/c1cccn1C,307.39
O=C(N/N=C/c1cccnc1)c1cccnc1,303.62
O=C(N/N=C/c1cccs1)c1ccco1,330.25
COc1ccc(-n2c(=O)sn(C)c2=O)cc1,312.27
CC(=O)c1sc(Nc2ccccc2)nc1N,319.62
O=C(Nc1ccnc2[nH]ncc12)c1ccccc1Cl,313.07
C[C@@H](N)Cc1n[nH]c2ccc(O)cc12,292.71
O=C(N/N=C/c1ccco1)c1ccco1,316.33
c1ccc2c(SCc3ccncc3)ncnc2c1,313.13
Cc1nc2ccccc2n1CCCC(=O)O,248.49
O=C(Nc1ccc(Cl)cc1)c1cc[nH]n1,269.27
NC1=Nc2ccccc2[C@H]2CCC[C@@]12F,273.96
S=c1[nH]c2ccccc2n1Cc1ccccn1,315.07
NC(=O)c1cccc2[nH]c(-c3ccc(O)cc3)nc12,306.92
CCOC(=O)/C(C#N)=C/c1ccc(OC)cc1,320.08
N[C@@H]1C=C[C@H](C[C@H](CS)C(=O)O)C1,220.09
CC[C@@H]1CNCC[C@@H]1c1cccc2ccsc12,272.8
CCc1ccc(-c2cn3c(n2)SCC3)cc1,284.22
CC(C)C[C@H]1CNC[C@H]1c1noc(O)n1,257.07
Cn1cnc2c(NCCc3cccnc3)ncnc21,263.81
Cc1cccc(C)c1[C@H](C#N)C=O,289.84
N[C@@H]1c2ccccc2CN2CCCC[C@H]12,260.35
COc1ccnc2c1-c1nc3ccccc3c3ccnc(c13)C2=O,461.45
COc1ccc(C(=O)Nc2nnn[nH]2)c(OC(C)C)c1,270.09
N#CCC(=O)NCc1ccccc1,229.63
c1coc(CN2CCCc3ccccc32)c1,276.48
Cn1cccc1/C=N/NC(=O)c1cnccn1,395.34
c1cncc(-c2cnn3cc(-c4ccncc4)cnc23)c1,388.63
CN1CCC(c2n[nH]c3ccc([N+](=O)[O-])cc23)CC1,388.82
O=c1c2ccccc2oc2nc3n(c(=O)c12)CCCS3,361.61
COc1c(/C(C)=N/O)ccc2ccccc12,312.22
O[C@H]1C2CCN(CC2)[C@H]1Cc1cccnc1,262.55
CC(=O)Nc1ccc(C(N)=O)cc1Cl,283.21
Cc1ccoc1/C=N/NC(=O)c1ccncc1,349.99
CC1(C)CC(=O)Nc2ccc(-c3cccc(Cl)c3)cc21,282.04
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,260.24
Cc1ccc(/C=N/NC(=O)c2cnccn2)s1,406.43
Cc1ccc2nonc2c1[N+](=O)[O-],350.99
Clc1ccc(N2CC[C@H]3CC[C@@H](C2)N3)nn1,337.44
Cc1ccc(NC(=O)c2ccc(F)cc2)cc1F,292.38
NC[C@H](CC(=O)O)C1CCCC1,220.38
S=C(Nc1ccccc1)c1ccccc1,447.87
COc1ccc(C(=O)Nc2nc(-c3ccccc3)ns2)cc1,301.66
Cc1cccc(-n2ccc(N)cc2=O)c1,297.71
O=C(O)/C=C/C(=O)Nc1cccc([N+](=O)[O-])c1,332.47
S=C(Nc1ccccc1)N1CCOCC1,353.34
Cc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,340.66
CC1=C(CCCl)SC[C@H](C)O1,257.45
COc1ccccc1/C=N\n1cnnc1,309.45
O=c1c2cc(Cl)ccc2oc2nc3n(c(=O)c12)CCCS3,362.68
O=S(=O)(Nc1ccccc1)c1ccc(F)cc1,315.95
COc1ccc(-n2ccc(N)cc2=O)cc1,297.57
Cc1cc(N)ncc1C[C@H](CS)C(=O)O,265.56
N#CN1CCC[C@H]1CNC(=O)c1ccccc1,266.65
Cc1ccnc(CSc2ncnc3ccccc23)c1,314.06
O=CNc1ccccc1Oc1ccccc1,261.09
O=C(N/N=C/c1ccco1)c1cccs1,350.82
Cc1ccc(NC(=O)CCl)cc1[N+](=O)[O-],339.28
