canonical_smiles,pchembl_value,assay_description,standard_type,standard_value,standard_units,standard_relation,assay_chembl_id,assay_type,molecule_chembl_id,target_organism,target_chembl_id,document_chembl_id
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,6.16,"Inhibition of human recombinant EGF-R expressed in Sf9 cells using poly(E,Y)4:1 as substrate after 80 mins by scintillation counting",IC50,690.0,nM,=,CHEMBL1961280,B,CHEMBL6246,Homo sapiens,CHEMBL203,CHEMBL1955824
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,6.47,Binding constant for EGFR(E746-A750del) kinase domain,Kd,340.0,nM,=,CHEMBL1061143,B,CHEMBL10,Homo sapiens,CHEMBL203,CHEMBL1150977
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,5.33,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,4655.0,nM,=,CHEMBL1909203,B,CHEMBL7002,Homo sapiens,CHEMBL203,CHEMBL1909046
COc1cc2c(cc1OC)Nc1ncnc(O)c1C2,4.12,Inhibition of epidermal growth factor receptor (EGFR),IC50,75000.0,nM,=,CHEMBL843057,B,CHEMBL414013,Homo sapiens,CHEMBL203,CHEMBL1128884
COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,7.19,Inhibition of Epidermal growth factor receptor,IC50,64.0,nM,=,CHEMBL677887,B,CHEMBL7866,Homo sapiens,CHEMBL203,CHEMBL1132606
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6.22,Inhibition of EGFR (unknown origin),IC50,600.0,nM,=,CHEMBL5131965,B,CHEMBL44,Homo sapiens,CHEMBL203,CHEMBL5131376
COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,5.82,Inhibition of Epidermal growth factor receptor-dependent phosphorylation,IC50,1500.0,nM,=,CHEMBL677889,B,CHEMBL7810,Homo sapiens,CHEMBL203,CHEMBL1132606
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,6.80,Competitive inhibition of ATP binding to EGF-R,Ki,160.0,nM,=,CHEMBL642000,B,CHEMBL268868,Homo sapiens,CHEMBL203,CHEMBL1127678
COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,5.90,Inhibition of Epidermal growth factor receptor,IC50,1270.0,nM,=,CHEMBL677887,B,CHEMBL7339,Homo sapiens,CHEMBL203,CHEMBL1132606
O=c1c(-c2cccc(Cl)c2)coc2cc(O)ccc12,4.23,Inhibition of Epidermal growth factor receptor,IC50,58800.0,nM,=,CHEMBL677887,B,CHEMBL7699,Homo sapiens,CHEMBL203,CHEMBL1132606
O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,6.16,Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD),IC50,700.0,nM,=,CHEMBL679549,B,CHEMBL7939,Homo sapiens,CHEMBL203,CHEMBL1127678
Oc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,8.10,Inhibition of Epidermal growth factor receptor,IC50,8.0,nM,=,CHEMBL677887,B,CHEMBL266995,Homo sapiens,CHEMBL203,CHEMBL1132606
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,9.51,Concentration required to inhibit the phosphorylation of a 14-residue fragment of phospholipase C gamma 1 by Epidermal growth factor receptor from A431 cell vesicles,IC50,0.31,nM,=,CHEMBL680017,B,CHEMBL7917,Homo sapiens,CHEMBL203,CHEMBL1129291
O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12,7.02,Inhibition of Epidermal growth factor receptor,IC50,95.0,nM,=,CHEMBL677887,B,CHEMBL7827,Homo sapiens,CHEMBL203,CHEMBL1132606
CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,5.06,Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD),IC50,8700.0,nM,=,CHEMBL679549,B,CHEMBL7775,Homo sapiens,CHEMBL203,CHEMBL1127678
Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,5.60,Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD),IC50,2500.0,nM,=,CHEMBL679549,B,CHEMBL7914,Homo sapiens,CHEMBL203,CHEMBL1127678
COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(C)c2c1,6.77,Inhibition of Epidermal growth factor receptor,IC50,170.0,nM,=,CHEMBL677887,B,CHEMBL7819,Homo sapiens,CHEMBL203,CHEMBL1132606
COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,7.42,Inhibition of Epidermal growth factor receptor,IC50,38.0,nM,=,CHEMBL677887,B,CHEMBL440453,Homo sapiens,CHEMBL203,CHEMBL1132606
CCN(CC)c1ccc(Nc2cc3c(cc2Nc2ccc(N(CC)CC)cc2)C(=O)NC3=O)cc1,4.30,Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD),IC50,50000.0,nM,=,CHEMBL679549,B,CHEMBL8223,Homo sapiens,CHEMBL203,CHEMBL1127678
O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,5.60,Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD),IC50,2500.0,nM,=,CHEMBL679549,B,CHEMBL267019,Homo sapiens,CHEMBL203,CHEMBL1127678
COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,5.70,Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD),IC50,2000.0,nM,=,CHEMBL679549,B,CHEMBL8095,Homo sapiens,CHEMBL203,CHEMBL1127678
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,6.05,Inhibition of EGFR,IC50,900.0,nM,=,CHEMBL1029460,B,CHEMBL50,Homo sapiens,CHEMBL203,CHEMBL1158361
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,5.28,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,5228.0,nM,=,CHEMBL1909203,B,CHEMBL459,Homo sapiens,CHEMBL203,CHEMBL1909046
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,5.27,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,5385.9,nM,=,CHEMBL1909203,B,CHEMBL58,Homo sapiens,CHEMBL203,CHEMBL1909046
